FID,Key,SiteCode,Site,SiteLat,SiteLong,Country,Ecoregion,Realm,SurveyID,Depth,SurveyDate,Category,CategoryDescription,MajorCategory,NumPoints,TotalPoints,PercentCover,geom
M3_DATA.20285,20285,ETP188,Montuosa Sureste,7.46,-82.23,Panama,Nicoya,Tropical Eastern Pacific,507003599,8,2007-03-25T14:00:00Z,Ecr,Encrusting corals,Coral,,,0.7407,POINT (-82.23 7.46)
M3_DATA.20289,20289,ETP188,Montuosa Sureste,7.46,-82.23,Panama,Nicoya,Tropical Eastern Pacific,507003599,8,2007-03-25T14:00:00Z,Mas,Massive corals (Live),Coral,,,0.1235,POINT (-82.23 7.46)
M3_DATA.20301,20301,ETP46,Chorro,8.71,-83.87,Costa Rica,Nicoya,Tropical Eastern Pacific,506002995,12,2011-05-12T14:00:00Z,Bra,Other branching/erect corals (Live),Coral,,,6.2,POINT (-83.87 8.71)
M3_DATA.20311,20311,ETP46,Chorro,8.71,-83.87,Costa Rica,Nicoya,Tropical Eastern Pacific,506002995,12,2011-05-12T14:00:00Z,Mas,Massive corals (Live),Coral,,,14.6,POINT (-83.87 8.71)
M3_DATA.20312,20312,ETP46,Chorro,8.71,-83.87,Costa Rica,Nicoya,Tropical Eastern Pacific,506002995,12,2011-05-12T14:00:00Z,Ecr,Encrusting corals,Coral,,,0.8,POINT (-83.87 8.71)
M3_DATA.20314,20314,ETP46,Chorro,8.71,-83.87,Costa Rica,Nicoya,Tropical Eastern Pacific,506002995,12,2011-05-12T14:00:00Z,Pocil,Pocillopora,Coral,,,1.6,POINT (-83.87 8.71)
M3_DATA.20317,20317,ETP54,Paradiso,8.73,-83.83,Costa Rica,Nicoya,Tropical Eastern Pacific,506003002,19,2011-05-15T14:00:00Z,Mas,Massive corals (Live),Coral,,,0.2,POINT (-83.83 8.73)
M3_DATA.20324,20324,ETP54,Paradiso,8.73,-83.83,Costa Rica,Nicoya,Tropical Eastern Pacific,506003002,19,2011-05-15T14:00:00Z,Soft,Soft corals and gorgonians,Coral,,,17,POINT (-83.83 8.73)
M3_DATA.20327,20327,ETP242,Uvita Abajo,7.8,-81.75,Panama,Nicoya,Tropical Eastern Pacific,507003574,8,2007-03-23T13:00:00Z,Pocil,Pocillopora,Coral,,,4.9383,POINT (-81.75 7.8)
M3_DATA.20328,20328,ETP78,Roca Prosper,7.78,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003575,8,2007-03-23T13:00:00Z,Pocil,Pocillopora,Coral,,,4.321,POINT (-81.76 7.78)
M3_DATA.20332,20332,ETP78,Roca Prosper,7.78,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003575,8,2007-03-23T13:00:00Z,Aherm,Ahermatypic corals,Coral,,,0.7407,POINT (-81.76 7.78)
M3_DATA.20334,20334,ETP78,Roca Prosper,7.78,-81.76,Panama,Nicoya,Tropical Eastern Pacific,507003575,8,2007-03-23T13:00:00Z,Soft,Soft corals and gorgonians,Coral,,,1.8519,POINT (-81.76 7.78)
